"obec1","stat1","obec2","stat2","rok"
"Klášterec nad Ohří","Česká republika","Grossrückerswalde","Německo",2009
"Místo","Česká republika","Stadt Schlettau","Německo",2004
"Litoměřice","Česká republika","Armentieres","Francie",1998
"Litoměřice","Česká republika","Calamba","Filipíny",2006
"Litoměřice","Česká republika","Dapitan","Filipíny",2006
"Litoměřice","Česká republika","Fulda","Německo",2001
"Litoměřice","Česká republika","Meissen","Německo",1996
"Roudnice nad Labem","Česká republika","Dessau-Rosslau","Německo",2004
"Roudnice nad Labem","Česká republika","Ruelle sur Touvre","Francie",1992
"Třebívlice","Česká republika","Wiederitzsch","Německo",2001
"Louny","Česká republika","Barendrecht","Nizozemsko",1991
"Louny","Česká republika","Lučenec","Slovensko",0
"Louny","Česká republika","Veneux - Les Sablons","Francie",2004
"Louny","Česká republika","Zschopau","Německo",1972
"Slavětín","Česká republika","Leubsdorf","Německo",2005
"Žatec","Česká republika","Krasnystaw","Polsko",0
"Žatec","Česká republika","Poperinge","Belgie",0
"Žatec","Česká republika","Thum","Německo",0
"Žatec","Česká republika","Žalec","Slovinsko",0
"Líšťany","Česká republika","Mildenau","Německo",2004
"Blšany u Loun","Česká republika","Leubzdorf","Německo",2001
"Most","Česká republika","Marienberg","Německo",1992
"Most","Česká republika","Meppel","Nizozemsko",1999
"Litvínov","Česká republika","Brie-Comte-Robert","Francie",2011
"Litvínov","Česká republika","Olbernhau","Německo",1992
"Meziboří","Česká republika","Sayda","Německo",1995
"Meziboří","Česká republika","Sogliano al Rubicone","Itálie",1991
"Nová Ves v Horách","Česká republika","Deutschneudorf","Německo",2000
"Obrnice","Česká republika","Zschopau","Německo",2011
"Bílina","Česká republika","Ales","Francie",0
"Bílina","Česká republika","Bilgoraj","Polsko",1994
"Bílina","Česká republika","Crailsheim","Německo",0
"Bílina","Česká republika","Dippoldiswalde","Německo",2005
"Bílina","Česká republika","Nowowolynsk","Ukrajina",2000
"Bílina","Česká republika","Saeby","Dánsko",1992
"Bílina","Česká republika","Stropkov","Slovensko",2008
"Duchcov","Česká republika","Miltenberg","Německo",2004
"Duchcov","Česká republika","Mulda","Německo",2005
"Háj u Duchcova","Česká republika","Kreischa","Německo",2003
"Měrunice","Česká republika","Beuren, obecní část města Leinefelde - Worbis","Německo",2004
"Měrunice","Česká republika","Reifland - obecní část města Lengefeld","Německo",2005
"Osek","Česká republika","Frauenstein","Německo",2010
"Osek","Česká republika","Lengefeld","Německo",2009
"Chabařovice","Česká republika","Drebach","Německo",0
"Chabařovice","Česká republika","Ždiar","Slovensko",0
"Trmice","Česká republika","Königstein","Německo",2002
"Doksy","Česká republika","Bolków","Polsko",2006
"Doksy","Česká republika","Oybin","Německo",2005
"Kamenický Šenov","Česká republika","Frauenau","Německo",2008
"Kamenický Šenov","Česká republika","Rheinbach","Německo",2002
"Kamenický Šenov","Česká republika","Weisswasser","Německo",2004
"Kamenický Šenov","Česká republika","Zwiesel","Německo",2008
"Mimoň","Česká republika","Nová Baňa","Slovensko",2008
"Mimoň","Česká republika","Oelzsnitz","Německo",2000
"Mimoň","Česká republika","Zlotoryia","Polsko",2000
"Nový Bor","Česká republika","Mednogorsk","Rusko",2007
"Nový Bor","Česká republika","Oybin","Německo",2007
"Jablonec nad Nisou","Česká republika","Budyšín","Německo",1993
"Jablonec nad Nisou","Česká republika","Jelení Hora","Polsko",2007
"Jablonec nad Nisou","Česká republika","Kaufbeuren","Německo",2009
"Jablonec nad Nisou","Česká republika","Zwickau","Německo",2001
"Rychnov u Jablonce nad Nisou","Česká republika","Gromadka","Polsko",2011
"Smržovka","Česká republika","Juchnowiec Koscielny","Polsko",2007
"Smržovka","Česká republika","Plouhinec","Francie",1994
"Smržovka","Česká republika","Rammenau","Německo",1998
"Smržovka","Česká republika","Unsere Liebe Frau im Walde – Sankt Felix","Itálie",1994
"Smržovka","Česká republika","Weidenberg","Německo",1993
"Tanvald","Česká republika","Burbach","Německo",1991
"Tanvald","Česká republika","Lubomerz","Polsko",2009
"Tanvald","Česká republika","Wittichenau","Německo",1992
"Habartice","Česká republika","Město Zawidów","Polsko",2006
"Hejnice","Česká republika","Leknica","Polsko",2000
"Hodkovice nad Mohelkou","Česká republika","Wegliniec","Polsko",0
"Chrastava","Česká republika","Eichstätt","Německo",2002
"Chrastava","Česká republika","Lwówek Śląski","Polsko",2007
"Kobyly","Česká republika","Kobyly","Slovensko",2003
"Kobyly","Česká republika","Stolno","Polsko",2005
"Nové Město pod Smrkem","Česká republika","Leśna","Polsko",1994
"Nové Město pod Smrkem","Česká republika","Mirsk","Polsko",1996
"Nové Město pod Smrkem","Česká republika","Świeradów-Zdrój","Polsko",2007
"Osečná","Česká republika","Krotoszyce","Polsko",0
"Osečná","Česká republika","Markersdorf","Německo",0
"Osečná","Česká republika","Torrevecchia Pia","Itálie",2011
"Příšovice","Česká republika","Zittau","Německo",2009
"Dětřichov","Česká republika","Sieniawka","Polsko",2008
"Paseky nad Jizerou","Česká republika","Jezow Sudecki","Polsko",2003
"Paseky nad Jizerou","Česká republika","Vierkirchen","Německo",2007
"Bozkov","Česká republika","Wielke Janowice","Polsko",2008
"Jablonec nad Jizerou","Česká republika","Sulzbach am Taunus","Německo",1987
"Rokytnice nad Jizerou","Česká republika","Wojcieszow","Polsko",2007
"Rovensko pod Troskami","Česká republika","Mecinka","Polsko",0
"Výrava","Česká republika","obec Výrava, Prešovský kraj","Slovensko",2007
"Výrava","Česká republika","Výrava","Slovensko",2007
"Hradec Králové","Česká republika","Alessandria","Itálie",1961
"Hradec Králové","Česká republika","Arnhem","Nizozemsko",1992
"Hradec Králové","Česká republika","Banská Bystrica","Slovensko",1950
"Hradec Králové","Česká republika","Černihiv","Ukrajina",2010
"Hradec Králové","Česká republika","Giessen","Německo",1990
"Hradec Králové","Česká republika","Kaštela","Chorvatsko",1992
"Hradec Králové","Česká republika","Metz","Francie",2001
"Hradec Králové","Česká republika","Walbrzych","Polsko",1991
"Hradec Králové","Česká republika","Wroclaw","Polsko",2003
"Chlumec nad Cidlinou","Česká republika","Valaská","Slovensko",2009
"Libčany","Česká republika","le Mele sur Sarthe","Francie",1995
"Nový Bydžov","Česká republika","Brezno","Slovensko",2000
"Nový Bydžov","Česká republika","Cascinette d´ Ivrea","Itálie",2001
"Nový Bydžov","Česká republika","Nadlac","Rumunsko",2010
"Jičín","Česká republika","Erbach","Německo",1993
"Hořice","Česká republika","Jablonka","Polsko",2010
"Hořice","Česká republika","Kerepes","Maďarsko",2009
"Hořice","Česká republika","Trstená","Slovensko",0
"Kopidlno","Česká republika","Swidnica","Polsko",2011
"Lužany","Česká republika","Swidnica","Polsko",2010
"Česká Skalice","Česká republika","Miasto i Gmina Polanica Zdroj","Polsko",2008
"Česká Skalice","Česká republika","Polanica-Zdrój","Polsko",2002
"Hejtmánkovice","Česká republika","Scienawka Sriedna","Polsko",2000
"Horní Radechová","Česká republika","Braszowice","Polsko",2002
"Hronov","Česká republika","Bielawa","Polsko",1998
"Hronov","Česká republika","Kudowa Zdroj","Polsko",1996
"Jaroměř","Česká republika","Ziębice","Polsko",0
"Martínkovice","Česká republika","Scinawka Dolna","Polsko",2003
"Meziměstí","Česká republika","Mieroszow","Polsko",2000
"Meziměstí","Česká republika","Sokolowsko","Polsko",1984
"Meziměstí","Česká republika","Walbrzych - powiat","Polsko",2010
"Nové Město nad Metují","Česká republika","Duszniki Zdrój","Polsko",1997
"Nové Město nad Metují","Česká republika","Hilden","Německo",1989
"Nové Město nad Metují","Česká republika","Warrington","Velká Británie",1989
"Velichovky","Česká republika","Jedlina - Zdrój","Polsko",2004
"Velichovky","Česká republika","St. Etienne de Crossey","Francie",2010
"Čermná nad Orlicí","Česká republika","Češko Selo","Srbsko",2004
"Čermná nad Orlicí","Česká republika","Kruščica","Srbsko",2004
"Čermná nad Orlicí","Česká republika","Spišské Tomášovce","Slovensko",2009
"Dobruška","Česká republika","Abrahámhegy","Maďarsko",2001
"Dobruška","Česká republika","Miejska Górka","Polsko",2008
"Dobruška","Česká republika","Pilawa Górna","Polsko",2011
"Dobruška","Česká republika","Radków","Polsko",2009
"Kostelec nad Orlicí","Česká republika","Bielawa","Polsko",2009
"Kostelec nad Orlicí","Česká republika","Myjava","Slovensko",2004
"Kostelec nad Orlicí","Česká republika","Zeulenroda-Triebes","Německo",1998
"Králova Lhota","Česká republika","Obec Kráľova Lehota","Slovensko",2001
"Týniště nad Orlicí","Česká republika","Čierny Balog","Slovensko",1999
"Trutnov","Česká republika","Kamienna Góra","Polsko",1997
"Trutnov","Česká republika","Kepno","Polsko",2005
"Trutnov","Česká republika","Lohfelden","Německo",2007
"Trutnov","Česká republika","Senica","Slovensko",1998
"Trutnov","Česká republika","Strzelin","Polsko",2005
"Trutnov","Česká republika","Swidnica","Polsko",1998
"Trutnov","Česká republika","Würzburg","Německo",2008
"Černý Důl","Česká republika","Grossenheidorn","Německo",2000
"Černý Důl","Česká republika","Karpacz","Polsko",2009
"Černý Důl","Česká republika","Kowary","Polsko",2007
"Dvůr Králové nad Labem","Česká republika","Piegaro","Itálie",2001
"Dvůr Králové nad Labem","Česká republika","Verneuil en Halatte","Francie",2000
"Horní Maršov","Česká republika","Kurort-Rathen","Německo",2004
"Horní Maršov","Česká republika","Myslakowice","Polsko",2008
"Hostinné","Česká republika","Bensheim","Německo",2002
