"obec1","stat1","obec2","stat2","rok"
"Šilheřovice","Česká republika","Krzyžanowice","Polsko",0
"Štěpánkovice","Česká republika","Kitrz","Polsko",2005
"Štěpánkovice","Česká republika","Štrba","Slovensko",1968
"Velká Polom","Česká republika","Dlhá nad Oravou","Slovensko",2011
"Ostrava","Česká republika","Coventry","Velká Británie",0
"Ostrava","Česká republika","Doněck","Ukrajina",2009
"Ostrava","Česká republika","Drážďany","Německo",0
"Ostrava","Česká republika","Katowice","Polsko",0
"Ostrava","Česká republika","Košice","Slovensko",2001
"Ostrava","Česká republika","Miskolc","Maďarsko",2001
"Ostrava","Česká republika","Pittsburgh","Spojené státy americké",2001
"Ostrava","Česká republika","Split","Chorvatsko",1976
"Ostrava","Česká republika","Uralsk","Kazachstán",2008
"Ostrava","Česká republika","Volgograd","Rusko",0
"Stará Ves nad Ondřejnicí","Česká republika","Raková","Slovensko",0
"Šenov","Česká republika","Strumieň","Polsko",2002
"Šenov","Česká republika","Turzovka","Slovensko",2011
"Praha","Česká republika","Brusel","Belgie",2013
"Praha","Česká republika","Tchaj-pej","Tchaj-wan",2001
"Praha","Česká republika","Paříž","Francie",1997
"Praha","Česká republika","Kjóto","Japonsko",1996
"Praha","Česká republika","Soul","Korea",2005
"Praha","Česká republika","Hamburk","Německo",1990
"Praha","Česká republika","Frankfurt nad Mohanem","Německo",1990
"Praha","Česká republika","Norimberk","Německo",1990
"Praha","Česká republika","Berlín","Německo",1995
"Praha","Česká republika","Moskva","Rusko",1995
"Praha","Česká republika","Petrohrad","Rusko",1991
"Praha","Česká republika","Chicago","Spojené státy americké",1990
"Praha","Česká republika","Miami","Spojené státy americké",2010
"Praha","Česká republika","Phoenix","Spojené státy americké",1991
