"i","l","g","c","o"
"S-561681","50.7735848082412","14.4728741391855","Kamenický Šenov","Česká republika"
"S-561835","50.6586843956218","14.7247357264992","Mimoň","Česká republika"
"S-561860","50.7576064776666","14.5555564759027","Nový Bor","Česká republika"
"S-563510","50.7243056737817","15.1710630653672","Jablonec nad Nisou","Česká republika"
"S-563790","50.6837875955477","15.149776934604","Rychnov u Jablonce nad Nisou","Česká republika"
"S-563811","50.738199039244","15.2463769116069","Smržovka","Česká republika"
"S-563820","50.7373527263849","15.3058354520317","Tanvald","Česká republika"
"S-564036","51.0190332759528","15.0651299025857","Habartice","Česká republika"
"S-564044","50.87719994156","15.1816542885422","Hejnice","Česká republika"
"S-564061","50.6658590763098","15.089840839022","Hodkovice nad Mohelkou","Česká republika"
"S-564117","50.8169231434873","14.9688251149266","Chrastava","Česká republika"
"S-564141","50.6101661581963","15.0043273067417","Kobyly","Česká republika"
"S-564265","50.9249113539652","15.2294029602479","Nové Město pod Smrkem","Česká republika"
"S-564290","50.6948853811128","14.9213688333436","Osečná","Česká republika"
"S-564354","50.5781280744603","15.0838893325607","Příšovice","Česká republika"
"S-546607","50.8926450543097","15.0365491213629","Dětřichov","Česká republika"
"S-547476","50.7241668094335","15.4009454394279","Paseky nad Jizerou","Česká republika"
"S-577006","50.6400695042982","15.3370837680984","Bozkov","Česká republika"
"S-577162","50.7034693153441","15.4295709384487","Jablonec nad Jizerou","Česká republika"
"S-577456","50.7256113624224","15.4335536076767","Rokytnice nad Jizerou","Česká republika"
"S-577472","50.5353155348509","15.2593981022972","Rovensko pod Troskami","Česká republika"
"S-571105","50.2696400863351","15.9789384791763","Výrava","Česká republika"
"S-569810","50.2092264698809","15.8327611359683","Hradec Králové","Česká republika"
"S-570109","50.1544004760922","15.460256631507","Chlumec nad Cidlinou","Česká republika"
"S-570249","50.1917501914652","15.6948951739539","Libčany","Česká republika"
"S-570508","50.2414996197772","15.4908139032868","Nový Bydžov","Česká republika"
"S-572659","50.4372233522161","15.3516159018191","Jičín","Česká republika"
"S-572926","50.366088281944","15.6318239408125","Hořice","Česká republika"
"S-573060","50.3308478011116","15.270286978929","Kopidlno","Česká republika"
"S-573159","50.4310527493643","15.4702792489719","Lužany","Česká republika"
"S-573990","50.3946691482909","16.0427500747094","Česká Skalice","Česká republika"
"S-574031","50.5992606896116","16.2994168053768","Hejtmánkovice","Česká republika"
"S-574066","50.467355531409","16.1447527928668","Horní Radechová","Česká republika"
"S-574082","50.4796861726913","16.1822879708854","Hronov","Česká republika"
"S-574121","50.3561948706274","15.921353478214","Jaroměř","Česká republika"
"S-574228","50.5475335163073","16.3419553826079","Martínkovice","Česká republika"
"S-574252","50.6246132427101","16.2420491110152","Meziměstí","Česká republika"
"S-574279","50.3445648781664","16.1514549848191","Nové Město nad Metují","Česká republika"
"S-574554","50.3567695559565","15.8416732403149","Velichovky","Česká republika"
"S-574571","50.517257587099","16.2062466503199","Velké Petrovice","Česká republika"
"S-576191","50.0763666586666","16.1320942572761","Čermná nad Orlicí","Česká republika"
"S-576271","50.2920129272999","16.1600041260873","Dobruška","Česká republika"
"S-576361","50.1226661938279","16.2131804865853","Kostelec nad Orlicí","Česká republika"
"S-576409","50.2944059658049","15.9990029747877","Králova Lhota","Česká republika"
"S-576859","50.1513620124227","16.0776912882052","Týniště nad Orlicí","Česká republika"
"S-579025","50.561008294926","15.9126846852374","Trutnov","Česká republika"
"S-579114","50.6349614288594","15.7105734485339","Černý Důl","Česká republika"
"S-579203","50.4317212231898","15.8140080560252","Dvůr Králové nad Labem","Česká republika"
"S-579262","50.6585630239156","15.8197291860802","Horní Maršov","Česká republika"
"S-579297","50.5406629435931","15.7233187600999","Hostinné","Česká republika"
"S-579378","50.5350013186871","16.108986662451","Jívka","Česká republika"
"S-579432","50.6350029749614","15.658874901002","Lánov","Česká republika"
"S-579777","50.5123758073052","16.016050372335","Úpice","Česká republika"
"S-579858","50.6269681477588","15.6093551658512","Vrchlabí","Česká republika"
"S-571164","49.9510903417112","15.7955714686083","Chrudim","Česká republika"
"S-571911","49.8444957774493","15.8046034194267","Nasavrky","Česká republika"
"S-574953","50.105089709476","15.8087464162255","Dříteč","Česká republika"
"S-574988","50.0660095475823","15.9858948061274","Holice","Česká republika"
"S-555134","50.0385363127045","15.7802005215842","Pardubice","Česká republika"
"S-577731","49.7559359923596","16.4682914625505","Svitavy","Česká republika"
"S-577928","49.6284566300608","16.3467876383428","Bystré","Česká republika"
"S-578347","49.8720308968886","16.3105207133475","Litomyšl","Česká republika"
"S-578444","49.7579288340624","16.6642587329298","Moravská Třebová","Česká republika"
"S-578487","49.8249970958639","16.5045790544195","Opatov","Česká republika"
"S-578576","49.7146443952483","16.2654323677209","Polička","Česká republika"
"S-580031","49.9018827526495","16.4472786431048","Česká Třebová","Česká republika"
"S-580121","49.9927317096517","16.497656692305","Dolní Dobrouč","Česká republika"
"S-580147","50.0031832072988","16.3896992037447","Libchavy","Česká republika"
"S-580431","50.1116040568524","16.5544857412986","Klášterec nad Orlicí","Česká republika"
"S-580503","50.1292742359496","16.4999614640382","Kunvald","Česká republika"
"S-580511","49.912166499582","16.6118992214782","Lanškroun","Česká republika"
"S-580538","50.0357998700862","16.4987833666844","Letohrad","Česká republika"
"S-581186","49.9532031207268","16.1616897547578","Vysoké Mýto","Česká republika"
"S-581259","50.0860121512686","16.4673768015152","Žamberk","Česká republika"
"S-569321","49.5768378306633","15.7385423288919","Přibyslav","Česká republika"
"S-569569","49.6680077379249","15.403929201661","Světlá nad Sázavou","Česká republika"
"S-569780","49.6959555765464","15.8135985259242","Ždírec nad Doubravou","Česká republika"
"S-586846","49.396099985009","15.5912395356656","Jihlava","Česká republika"
"S-587761","49.1452037773186","15.475227119155","Radkov","Česká republika"
"S-588024","49.1841750732982","15.4527458727659","Telč","Česká republika"
"S-547492","49.4313383822359","15.2233504131672","Pelhřimov","Česká republika"
"S-547778","49.511232319057","15.1783583861552","Červená Řečice","Česká republika"
"S-548111","49.303034615033","15.0751809869876","Kamenice nad Lipou","Česká republika"
"S-548511","49.4707640609827","15.0016722103786","Pacov","Česká republika"
"S-548561","49.2601997757584","15.2402138092291","Počátky","Česká republika"
"S-549215","49.5298359473972","15.2218026223378","Želiv","Česká republika"
"S-590266","49.2149215711795","15.8816542235876","Třebíč","Česká republika"
"S-590789","49.0189829423084","15.5699297244499","Jemnice","Česká republika"
"S-591211","49.2072616158113","16.1584859890316","Náměšť nad Oslavou","Česká republika"
"S-595209","49.5626325477781","15.9392377233623","Žďár nad Sázavou","Česká republika"
"S-595292","49.4792107713782","15.8758158027113","Bohdalov","Česká republika"
"S-595411","49.5229450406612","16.2614659599974","Bystřice nad Pernštejnem","Česká republika"
"S-595772","49.6371870802664","16.2263181512333","Jimramov","Česká republika"
"S-596230","49.5614420315313","16.0741812297963","Nové Město na Moravě","Česká republika"
"S-596647","49.5202154668386","16.200095722697","Rozsochy","Česká republika"
"S-596876","49.6346711571824","15.9259304208878","Škrdlovice","Česká republika"
"S-596973","49.2886250637482","16.2258524383625","Velká Bíteš","Česká republika"
"S-597007","49.3552161323497","16.0122405934436","Velké Meziříčí","Česká republika"
"S-581283","49.3631337782849","16.6431530578262","Blansko","Česká republika"
"S-581372","49.4875114441414","16.6599728456601","Boskovice","Česká republika"
"S-581682","49.344530902809","16.7559528495742","Jedovnice","Česká republika"
"S-581763","49.3551056090557","16.7843569891681","Kotvrdovice","Česká republika"
"S-582646","49.6123707448973","16.6794703131145","Velké Opatovice","Česká republika"
"S-582786","49.1918627491147","16.6110895491627","Brno","Česká republika"
"S-551287","49.2064618130337","16.6977710162492","Brno-Líšeň","Česká republika"
"S-582956","49.0701090268614","16.4649249675479","Dolní Kounice","Česká republika"
"S-583120","49.1014421207056","16.3775217629866","Ivančice","Česká republika"
"S-583197","49.2637044230929","16.714522354871","Kanice","Česká republika"
"S-583251","49.2985164241625","16.5314434150594","Kuřim","Česká republika"
"S-583367","49.0350866099872","16.5223840454277","Medlov","Česká republika"
"S-583588","49.1233437539637","16.3365315494891","Oslavany","Česká republika"
"S-583677","49.2097630933946","16.7907471503537","Pozořice","Česká republika"
"S-583782","49.1823174521936","16.3878731484516","Rosice","Česká republika"
"S-584002","49.3487169629964","16.4243818517303","Tišnov","Česká republika"
"S-584282","49.0395215477886","16.6188138481842","Židlochovice","Česká republika"
"S-584801","48.9811835727771","16.5244608462931","Pohořelice","Česká republika"
"S-595527","49.3609909625863","16.3587080472179","Dolní Loučky","Česká republika"
"S-584860","48.8581075737122","16.8133179230384","Rakvice","Česká republika"
"S-584932","49.01432479097","16.7797645320677","Šitbořice","Česká republika"
"S-585009","48.99167392283","16.6720903870168","Velké Němčice","Česká republika"
"S-584291","48.7589624810324","16.8820504872046","Břeclav","Česká republika"
"S-584347","48.91302152232","16.8530760666278","Bořetice","Česká republika"
"S-584363","48.9607931180138","16.8961657548173","Brumovice","Česká republika"
"S-584576","48.746845404746","16.9787108187741","Kostice","Česká republika"
"S-584622","48.7244263551006","16.9669710164725","Lanžhot","Česká republika"
"S-584754","48.809611968411","16.4937371430351","Nový Přerov","Česká republika"
"S-586021","48.848932054838","17.1324619982781","Hodonín","Česká republika"
"S-586081","48.9733641636704","17.2668639306988","Bzenec","Česká republika"
"S-586200","49.0232881991381","17.1798374596122","Hýsly","Česká republika"
"S-586307","49.0101767987626","17.1225391959538","Kyjov","Česká republika"
"S-586331","48.9151691227964","17.4892855295667","Louka","Česká republika"
"S-586561","48.8746874793903","16.9881934497049","Starý Poddvorov","Česká republika"
"S-586587","48.9010185904128","17.3168173973966","Strážnice","Česká republika"
"S-586625","48.9836656534347","17.0949214758996","Svatobořice-Mistřín","Česká republika"
"S-586714","48.8825709154688","17.5206108630423","Velká nad Veličkou","Česká republika"
"S-586722","48.9536343512123","17.3764949109375","Veselí nad Moravou","Česká republika"
"S-586749","48.989601317378","17.1635708595925","Vlkoš","Česká republika"
"S-592889","49.2774695080212","16.9989797555934","Vyškov","Česká republika"
"S-593001","49.2762950460311","16.9514681903136","Drnovice","Česká republika"
"S-593559","49.201280938572","16.8821520937557","Rousínov","Česká republika"
"S-593583","49.1532533479408","16.8764989801327","Slavkov u Brna","Česká republika"
"S-593711","48.8554930097188","16.0487999772441","Znojmo","Česká republika"
"S-593842","48.8699175456603","16.3417572890299","Břežany","Česká republika"
"S-594156","48.829902104021","16.402717204939","Hrušovany nad Jevišovkou","Česká republika"
"S-594458","48.9476653638191","16.3125266725506","Miroslav","Česká republika"
"S-595047","49.0208937352253","16.3784986775469","Vedrovice","Česká republika"
"S-595128","48.7997710175947","16.1006192179992","Vrbovec","Česká republika"
"S-555231","48.8661125206917","16.0890225923791","Suchohrdly","Česká republika"
"S-536385","50.2293721681351","17.2046476556365","Jeseník","Česká republika"
"S-540382","50.2985404777942","17.3215564171326","Mikulovice","Česká republika"
"S-533491","50.3082191849274","17.1469973548927","Černá Voda","Česká republika"
"S-536148","50.3907767188221","17.0027139958754","Javorník","Česká republika"
"S-569356","50.2573606150985","17.2280530518404","Česká Ves","Česká republika"
"S-569453","50.3165799694051","17.2659336956426","Velké Kunětice","Česká republika"
"S-597996","50.2638005239329","17.3960258796819","Zlaté Hory","Česká republika"
"S-500496","49.5938691633526","17.2508746894109","Olomouc","Česká republika"
"S-502146","49.6275748587719","17.4025355608603","Hlubočky","Česká republika"
"S-503444","49.701210382729","17.0761524647532","Litovel","Česká republika"
"S-504441","49.6546227174146","17.1296921918338","Náklo","Česká republika"
"S-504505","49.6021276048522","17.0653963797707","Náměšť na Hané","Česká republika"
"S-505587","49.7709150970602","17.1214407054903","Uničov","Česká republika"
"S-589250","49.4718788416811","17.1118436772707","Prostějov","Česká republika"
"S-513750","49.547966413036","17.7346933641867","Hranice","Česká republika"
"S-517534","49.4781715914664","17.5165613770364","Radslavice","Česká republika"
"S-517615","49.471736517186","17.7791427139692","Rouské","Česká republika"
"S-518026","49.4859304461816","17.5373810131768","Sušice","Česká republika"
"S-513229","49.4259461173183","17.5920460635877","Dřevohostice","Česká republika"
"S-511382","49.4551108307973","17.4509050661501","Přerov","Česká republika"
"S-523704","49.9652834681521","16.9706111821677","Šumperk","Česká republika"
"S-525588","49.940804213315","16.9284909544763","Bludov","Česká republika"
"S-540773","49.907563158269","16.9122653120317","Postřelmov","Česká republika"
"S-540978","49.9809968127653","16.8778215934247","Ruda nad Moravou","Česká republika"
"S-541109","49.9190246227977","16.945166153811","Sudkov","Česká republika"
"S-541168","49.9612228613961","16.7657592373893","Štíty","Česká republika"
"S-541222","49.7983074681468","17.0105524757365","Úsov","Česká republika"
"S-536521","50.0957946506521","16.9849035399265","Jindřichov","Česká republika"
"S-541354","49.882601122116","16.87222951794","Zábřeh","Česká republika"
"S-540471","49.776983012953","16.9194646738894","Mohelnice","Česká republika"
"S-553379","49.9350626028932","16.9710760478389","Dolní Studénky","Česká republika"
"S-569445","49.9779243804473","17.0123436575307","Vikýřovice","Česká republika"
"S-506737","49.3891855490381","17.7114859677919","Chvalčov","Česká republika"
"S-588296","49.2978536909478","17.3931202037171","Kroměříž","Česká republika"
"S-588458","49.3333135590075","17.5783227584006","Holešov","Česká republika"
"S-592005","49.0697527681986","17.4596929017829","Uherské Hradiště","Česká republika"
"S-592048","49.0386517135729","17.8148736045863","Bojkovice","Česká republika"
"S-592102","49.0862736536173","17.3385277010557","Buchlovice","Česká republika"
"S-592307","49.1575840358103","17.4161940121072","Košíky","Česká republika"
"S-592439","48.9746499969266","17.6475810357659","Nivnice","Česká republika"
"S-592498","49.0383113137665","17.8506745193025","Pitín","Česká republika"
"S-592617","48.9021633050025","17.7067215570174","Strání","Česká republika"
"S-592722","49.084271375555","17.3698349862665","Tupesy","Česká republika"
"S-592731","49.0251349466982","17.6471563252297","Uherský Brod","Česká republika"
"S-592749","48.9855598731609","17.389855243672","Uherský Ostroh","Česká republika"
"S-550744","49.0449911804456","17.4701137066819","Kunovice","Česká republika"
"S-544949","49.4150778528822","18.1097656361218","Valašská Bystřice","Česká republika"
"S-545058","49.471808982009","17.9711233793239","Valašské Meziříčí","Česká republika"
"S-544787","49.3676984145225","17.9149822036896","Ratiboř","Česká republika"
"S-544841","49.4585316837555","18.143011713468","Rožnov pod Radhoštěm","Česká republika"
"S-541630","49.3387147769014","17.9961834710545","Vsetín","Česká republika"
"S-542644","49.2017508957193","18.1117362991676","Francova Lhota","Česká republika"
"S-542814","49.4309728856363","18.2139145163489","Hutisko-Solanec","Česká republika"
"S-543098","49.1787877143527","18.0164888408049","Lačnov","Česká republika"
"S-557145","49.3034947283786","17.6687007618004","Lukoveček","Česká republika"
"S-557170","49.2709306643893","17.7668289657107","Ostrata","Česká republika"
"S-585068","49.2266587663621","17.6663349475988","Zlín","Česká republika"
"S-585092","49.1631056471185","17.6367572164475","Bohuslavice u Zlína","Česká republika"
"S-585289","49.248487078369","17.7516312007414","Hvozdná","Česká republika"
"S-585459","49.0998281795198","17.7574740890107","Luhačovice","Česká republika"
"S-585521","49.1083147080285","18.0529367069173","Návojná","Česká republika"
"S-585599","49.2099196797297","17.5307707418065","Otrokovice","Česká republika"
"S-585751","49.0879935041252","17.8734862209898","Slavičín","Česká republika"
"S-585807","49.0454730118809","17.8984008191527","Šanov","Česká republika"
"S-585939","49.2228767455795","17.8545420172192","Vizovice","Česká republika"
"S-597180","49.9884446638341","17.4647105544126","Bruntál","Česká republika"
"S-597350","49.966820644615","17.6026334486498","Horní Benešov","Česká republika"
"S-597520","50.0896680585908","17.7038603154541","Krnov","Česká republika"
"S-597635","50.1629401689192","17.5748195285341","Město Albrechtice","Česká republika"
"S-597716","50.2751729857376","17.7152489061481","Osoblaha","Česká republika"
"S-597775","50.209788199912","17.7342339842402","Rusín","Česká republika"
"S-597783","49.9318291572182","17.2717733047231","Rýmařov","Česká republika"
"S-597872","50.0452984285558","17.4009293060282","Světlá Hora","Česká republika"
"S-597937","50.0471566229792","17.7447456940423","Úvalno","Česká republika"
"S-597945","49.9746358088346","17.3762859043811","Václavov u Bruntálu","Česká republika"
"S-598003","49.6853658446231","18.3483728100548","Frýdek-Místek","Česká republika"
"S-598046","49.7169921120379","18.4096362418921","Bruzovice","Česká republika"
"S-598143","49.5928047942381","18.3596554792951","Frýdlant nad Ostravicí","Česká republika"
"S-598259","49.5767171783289","18.7645553863859","Jablunkov","Česká republika"
"S-598364","49.5971883498127","18.2983473789946","Lhotka","Česká republika"
"S-598453","49.527375236833","18.754138522854","Mosty u Jablunkova","Česká republika"
