S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2262;50.4305778;18.1872243;Lešnica;Polsko;2009
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2777;45.88943;10.7292209;Valle di Ledro;Itálie;2008
S-540013;49.5576359610694;13.9506285448345;Březnice;Česká republika;F-2252;52.967729;12.983361;Lindow - Mark;Německo;2009
S-540757;49.6319252874034;14.0459962743361;Milín;Česká republika;F-2777;45.88943;10.7292209;Valle di Ledro;Itálie;2008
S-540439;49.6390212720944;14.2534411688502;Kamýk nad Vltavou;Česká republika;F-3204;52.9432129;17.2996897;Golancz;Polsko;2008
S-541281;49.6605744935336;14.4266357674455;Sedlčany;Česká republika;F-2823;49.027441;2.223507;Taverny;Francie;1993
S-530573;49.5718320539061;14.5325933500857;Sedlec-Prčice;Česká republika;F-3408;51.3614279;-0.193961;Sutton Bridge;Velká Británie;2001
S-541656;50.1037018116185;13.7334054745823;Rakovník;Česká republika;F-2790;50.0172906;8.7869609;Dietzenbach;Německo;1986
S-541656;50.1037018116185;13.7334054745823;Rakovník;Česká republika;F-2789;55.9166667;36.8666667;Istra;Rusko;1996
S-541656;50.1037018116185;13.7334054745823;Rakovník;Česká republika;F-2788;52.0816122;16.6385474;Koscian;Polsko;2005
S-541656;50.1037018116185;13.7334054745823;Rakovník;Česká republika;F-2787;48.4239696;21.9782824;Královský Chlmec;Slovensko;0
S-545201;49.2234006907253;14.4205604514435;Týn nad Vltavou;Česká republika;F-2921;50.50505;16.74043;Gmina Bardo;Polsko;37546
S-544256;48.9744718635495;14.4743301977067;České Budějovice;Česká republika;F-2276;48.30694;14.28583;Linec;Rakousko;1994
S-544256;48.9744718635495;14.4743301977067;České Budějovice;Česká republika;F-2275;47.7482524;-3.3702449;Lorient;Francie;1997
S-544256;48.9744718635495;14.4743301977067;České Budějovice;Česká republika;F-2274;48.3098916;18.0858758;Nitra;Slovensko;1994
S-544256;48.9744718635495;14.4743301977067;České Budějovice;Česká republika;F-2273;48.5667364;13.4319466;Pasov;Německo;1993
S-544256;48.9744718635495;14.4743301977067;České Budějovice;Česká republika;F-2272;50.6076846;10.6881255;Suhl;Německo;1979
S-544281;48.898602250089;14.6422556758036;Borovany;Česká republika;F-3066;44.8850185;11.9778148;Jolanda di Savoia;Itálie;2001
